Unnamed: 0,Titre,Entrées,best_match,movie_boxoffice,movie_budget,movie_cast,movie_categories,movie_countries,movie_director,movie_id,movie_imdb_metascore,movie_imdb_nb_of_ratings,movie_imdb_popularity,movie_imdb_rating,movie_length,movie_original_title,movie_poster,movie_production_companies,movie_synopsis,movie_title,movie_url,movie_us_boxoffice,release_date,year
130,1 Élémentaire The Walt Disney Company France Bande-Annonce,426 818,,,,,,,,,,,,,,,,,,,,,,
131,5 Asteroid City Universal Pictures International France Bande-Annonce,117 498,,,,,,,,,,,,,,,,,,,,,,
132,7 Le Challenge Sony Pictures Releasing France Bande-Annonce,54 361,,,,,,,,,,,,,,,,,,,,,,
133,9 38°5 Quai Des Orfèvres Kmbo Bande-Annonce,45 576,,,,,,,,,,,,,,,,,,,,,,
134,10 Sisu - De L'Or Et Du Sang Snd Bande-Annonce,44 625,,,,,,,,,,,,,,,,,,,,,,
135,1 The Flash Warner Bros. France Bande-Annonce,388 700,,,,,,,,,,,,,,,,,,,,,,
136,9 Sexygénaires Apollo Films / Orange Studio Bande-Annonce,63 084,,,,,,,,,,,,,,,,,,,,,,
137,1 Transformers: Rise Of The Beasts Paramount Pictures France Bande-Annonce,451 052,,,,,,,,,,,,,,,,,,,,,,
138,6 Des Mains En Or Zinc Film Bande-Annonce,109 081,,,,,,,,,,,,,,,,,,,,,,
139,8 Wahou ! Ugc Distribution Bande-Annonce,95 610,,,,,,,,,,,,,,,,,,,,,,
140,1 Spider-Man : Across The Spider-Verse Sony Pictures Releasing France Bande-Annonce,550 808,,,,,,,,,,,,,,,,,,,,,,
141,6 Le Croque-Mitaine The Walt Disney Company France Bande-Annonce,101 134,,,,,,,,,,,,,,,,,,,,,,
142,9 L'Île Rouge Memento Distribution Bande-Annonce,55 090,,,,,,,,,,,,,,,,,,,,,,
143,1 La Petite Sirène The Walt Disney Company France Bande-Annonce,582 814,,,,,,,,,,,,,,,,,,,,,,
144,4 L'Amour Et Les Forêts Diaphana Distribution Bande-Annonce,220 327,,,,,,,,,,,,,,,,,,,,,,
145,6 Omar La Fraise Studiocanal Bande-Annonce,140 144,,,,,,,,,,,,,,,,,,,,,,
146,10 Les Chevaliers Du Zodiaque Sony Pictures Releasing France Bande-Annonce,41 841,,,,,,,,,,,,,,,,,,,,,,
147,1 Fast & Furious X Universal Pictures International France Bande-Annonce,1 140 846,,,,,,,,,,,,,,,,,,,,,,
148,7 L'Arbre À Voeux Alba Films Bande-Annonce,50 457,,,,,,,,,,,,,,,,,,,,,,
149,3 L'Exorciste Du Vatican Sony Pictures Releasing France Bande-Annonce,155 555,,,,,,,,,,,,,,,,,,,,,,
150,5 Hawaii Warner Bros. France Bande-Annonce,71 825,,,,,,,,,,,,,,,,,,,,,,
151,6 Le Principal Le Pacte Bande-Annonce,60 604,,,,,,,,,,,,,,,,,,,,,,
152,1 Les Gardiens De La Galaxie 3 The Walt Disney Company France Bande-Annonce,1 323 124,,,,,,,,,,,,,,,,,,,,,,
153,7 Pour L’Honneur Apollo Films Bande-Annonce,91 813,,,,,,,,,,,,,,,,,,,,,,
